client_id,partition,total_samples,0,1,2,3,4,5,6,7,8,9
orchestrator,central_test_set,10000,980,1135,1032,1010,982,892,958,1028,974,1009
0,train_set,4200,920,2568,28,59,263,17,5,9,265,66
0,test_set,1800,407,1088,3,19,137,2,2,5,105,32
1,train_set,4200,360,966,56,42,715,6,1151,562,256,86
1,test_set,1800,142,430,24,10,291,0,479,296,88,40
2,train_set,4200,179,222,624,4,27,1248,1637,153,69,37
2,test_set,1800,90,118,276,0,13,510,698,46,32,17
3,train_set,4200,496,62,21,90,51,1628,989,723,67,73
3,test_set,1800,223,33,15,36,22,622,444,356,23,26
4,train_set,4200,1206,26,902,530,858,2,27,523,22,104
4,test_set,1800,537,12,392,216,367,1,8,213,6,48
5,train_set,4200,71,496,1628,398,50,284,64,863,225,121
5,test_set,1800,33,236,711,185,13,127,24,321,90,60
6,train_set,4200,3,13,130,125,20,22,88,14,1568,2217
6,test_set,1800,1,2,59,63,8,10,33,4,675,945
7,train_set,4200,284,19,3,2249,101,0,118,108,400,918
7,test_set,1800,131,11,1,905,43,0,61,54,198,396
8,train_set,4200,340,273,366,160,47,201,29,1291,1214,279
8,test_set,1800,140,119,179,67,26,75,16,552,511,115
9,train_set,4200,250,31,387,677,1961,468,34,118,24,250
9,test_set,1800,110,17,153,296,829,198,11,54,13,119
