coalition,value,iteration
"(3, 9, 0, 8, 4, 2, 1, 6, 7, 5)",0.1032,0
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.1032,0
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.1032,0
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.1032,0
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.1032,0
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.1032,0
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.1032,0
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.1032,0
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.1032,0
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.1032,0
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.1032,0
"(1, 5, 0, 9, 7, 3, 8, 6, 2, 4)",0.1135,1
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.1135,1
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.1135,1
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.1135,1
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.1135,1
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.1135,1
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.1135,1
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.1135,1
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.1135,1
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.1135,1
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.1135,1
"(0, 1, 9, 7, 2, 6, 3, 4, 5, 8)",0.6147,2
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.6217,2
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.6193,2
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.6143,2
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.6326,2
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.6277,2
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.6118,2
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.6221,2
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.6366,2
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.5679,2
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.5576,2
"(8, 6, 5, 9, 2, 0, 7, 4, 1, 3)",0.8674,3
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.8674,3
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.8623,3
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.8614,3
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.8643,3
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.8732,3
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.8708,3
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.8691,3
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.8646,3
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.872,3
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.8644,3
"(5, 1, 9, 7, 0, 4, 6, 3, 2, 8)",0.9006,4
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.8966,4
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.9058,4
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.8966,4
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.8977,4
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.9051,4
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.8968,4
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.8996,4
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.8979,4
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.9078,4
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.8975,4
"(7, 4, 6, 9, 3, 8, 0, 2, 1, 5)",0.9202,5
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.9182,5
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.9173,5
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.9191,5
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.9167,5
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.9175,5
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.9189,5
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.9234,5
