client_id,partition,total_samples,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
orchestrator,central_test_set,10000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
0,train_set,3500,434,372,53,24,1151,218,74,298,874,2
0,test_set,1500,217,179,31,12,459,104,33,94,371,0
1,train_set,3500,725,412,455,16,134,134,890,43,660,31
1,test_set,1500,318,181,209,6,65,59,376,15,262,9
2,train_set,3500,33,668,642,225,337,99,84,395,362,655
2,test_set,1500,10,299,258,101,147,42,32,169,170,272
3,train_set,3500,177,524,367,267,291,605,2,496,8,763
3,test_set,1500,65,205,160,120,130,245,2,224,4,345
4,train_set,3500,325,266,169,630,900,517,203,27,45,418
4,test_set,1500,131,120,76,248,368,246,107,16,28,160
5,train_set,3500,151,180,303,332,135,877,712,778,25,7
5,test_set,1500,82,82,139,128,59,390,273,331,10,6
6,train_set,3500,211,441,209,287,29,618,374,30,1196,105
6,test_set,1500,77,193,90,128,15,255,158,8,523,53
7,train_set,3500,302,287,621,776,135,52,651,409,19,248
7,test_set,1500,140,109,269,307,55,27,289,191,4,109
8,train_set,3500,564,259,613,440,64,62,481,707,49,261
8,test_set,1500,221,120,276,187,26,14,213,309,21,113
9,train_set,3500,573,74,49,513,345,298,30,335,242,1041
9,test_set,1500,244,29,11,253,155,138,16,125,127,402
