coalition,value,iteration
"(3, 9, 0, 8, 4, 2, 1, 6, 7, 5)",0.1032,0
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.1032,0
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.1032,0
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.1032,0
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.1032,0
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.1032,0
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.1032,0
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.1032,0
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.1032,0
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.1032,0
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.1032,0
"(1, 5, 0, 9, 7, 3, 8, 6, 2, 4)",0.1135,1
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.1135,1
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.1135,1
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.1135,1
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.1135,1
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.1135,1
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.1135,1
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.1135,1
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.1135,1
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.1135,1
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.1135,1
"(0, 1, 9, 7, 2, 6, 3, 4, 5, 8)",0.6465,2
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.6625,2
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.6618,2
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.6393,2
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.5934,2
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.6552,2
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.609,2
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.6585,2
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.6468,2
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.6287,2
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.6266,2
"(8, 6, 5, 9, 2, 0, 7, 4, 1, 3)",0.8717,3
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.869,3
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.87,3
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.8638,3
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.8651,3
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.8759,3
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.8748,3
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.8659,3
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.8783,3
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.8764,3
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.8704,3
"(5, 1, 9, 7, 0, 4, 6, 3, 2, 8)",0.9034,4
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.8982,4
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.9085,4
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.8956,4
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.8974,4
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.9076,4
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.9054,4
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.901,4
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.9018,4
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.9087,4
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.8997,4
"(7, 4, 6, 9, 3, 8, 0, 2, 1, 5)",0.9207,5
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.9178,5
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.9213,5
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.9189,5
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.915,5
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.9205,5
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.9168,5
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.9249,5
