coalition,value,iteration
"(3, 9, 0, 8, 4, 2, 1, 6, 7, 5)",0.1032,0
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.1,0
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.1,0
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.1,0
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.1,0
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.1,0
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.1001,0
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.1,0
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.1019,0
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.1084,0
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.0998,0
"(1, 5, 0, 9, 7, 3, 8, 6, 2, 4)",0.1,1
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.1,1
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.1,1
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.1,1
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.1,1
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.1,1
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.1,1
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.1,1
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.1,1
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.1015,1
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.1,1
"(0, 1, 9, 7, 2, 6, 3, 4, 5, 8)",0.1,2
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.1,2
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.1,2
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.1,2
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.1,2
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.1,2
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.1,2
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.1,2
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.1,2
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.1,2
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.1,2
"(8, 6, 5, 9, 2, 0, 7, 4, 1, 3)",0.1,3
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.1,3
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.1,3
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.1,3
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.1001,3
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.1,3
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.1,3
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.1,3
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.1,3
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.1,3
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.1,3
"(5, 1, 9, 7, 0, 4, 6, 3, 2, 8)",0.1058,4
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.1077,4
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.1037,4
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.1078,4
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.1058,4
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.1069,4
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.1038,4
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.1044,4
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.1096,4
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.1095,4
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.1068,4
"(7, 4, 6, 9, 3, 8, 0, 2, 1, 5)",0.1916,5
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.1956,5
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.1898,5
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.1942,5
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.1913,5
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.1923,5
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.1928,5
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.1858,5
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.1658,5
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.1974,5
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.181,5
"(1, 4, 2, 3, 9, 6, 7, 0, 5, 8)",0.2347,6
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.2102,6
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.2305,6
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.2352,6
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.2406,6
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.2435,6
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.2236,6
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.2261,6
