coalition,value,iteration
"(3, 9, 0, 8, 4, 2, 1, 6, 7, 5)",0.1135,0
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.2107,0
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.1004,0
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.32,0
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.1296,0
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.1019,0
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.1013,0
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.1103,0
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.1011,0
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.1003,0
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.1007,0
"(1, 5, 0, 9, 7, 3, 8, 6, 2, 4)",0.2988,1
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.4121,1
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.2789,1
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.2967,1
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.183,1
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.3057,1
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.2972,1
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.2514,1
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.2312,1
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.1981,1
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.242,1
"(0, 1, 9, 7, 2, 6, 3, 4, 5, 8)",0.6562,2
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.7192,2
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.4888,2
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.5938,2
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.6919,2
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.7013,2
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.6262,2
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.5872,2
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.6369,2
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.689,2
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.6629,2
"(8, 6, 5, 9, 2, 0, 7, 4, 1, 3)",0.7486,3
