coalition,value,iteration
"(3, 9, 0, 8, 4, 2, 1, 6, 7, 5)",0.2605,0
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.1156,0
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.19,0
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.1872,0
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.1517,0
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.1891,0
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.1012,0
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.209,0
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.1409,0
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.2025,0
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.0983,0
"(1, 5, 0, 9, 7, 3, 8, 6, 2, 4)",0.738,1
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.7479,1
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.6978,1
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.7281,1
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.6957,1
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.7591,1
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.6855,1
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.732,1
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.6637,1
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.7813,1
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.7763,1
"(0, 1, 9, 7, 2, 6, 3, 4, 5, 8)",0.8469,2
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.8489,2
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.8615,2
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.8333,2
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.8415,2
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.8551,2
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.8318,2
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.8296,2
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.8516,2
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.839,2
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.8249,2
"(8, 6, 5, 9, 2, 0, 7, 4, 1, 3)",0.8831,3
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.8715,3
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.8713,3
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.8815,3
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.8824,3
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.8947,3
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.8879,3
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.879,3
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.8831,3
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.8924,3
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.8745,3
"(5, 1, 9, 7, 0, 4, 6, 3, 2, 8)",0.9084,4
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.9061,4
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.9137,4
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.9074,4
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.9043,4
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.9117,4
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.9066,4
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.9031,4
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.9003,4
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.916,4
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.8998,4
"(7, 4, 6, 9, 3, 8, 0, 2, 1, 5)",0.9234,5
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.9195,5
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.9211,5
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.92,5
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.9225,5
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.9179,5
