coalition,value,iteration
"(3, 9, 0, 8, 4, 2, 1, 6, 7, 5)",0.1032,0
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.1032,0
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.1032,0
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.1032,0
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.1032,0
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.1032,0
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.1032,0
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.1032,0
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.1032,0
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.1032,0
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.1032,0
"(1, 5, 0, 9, 7, 3, 8, 6, 2, 4)",0.1135,1
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.1135,1
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.1135,1
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.1135,1
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.1135,1
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.1135,1
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.1135,1
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.1135,1
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.1135,1
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.1135,1
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.1135,1
"(0, 1, 9, 7, 2, 6, 3, 4, 5, 8)",0.619,2
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.63,2
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.6203,2
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.606,2
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.561,2
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.6228,2
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.6233,2
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.617,2
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.6186,2
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.5852,2
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.6097,2
"(8, 6, 5, 9, 2, 0, 7, 4, 1, 3)",0.8822,3
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.8834,3
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.8685,3
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.8807,3
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.8747,3
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.8858,3
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.8873,3
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.8766,3
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.8857,3
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.8866,3
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.8799,3
"(5, 1, 9, 7, 0, 4, 6, 3, 2, 8)",0.9109,4
"(0, 1, 2, 3, 4, 6, 7, 8, 9)",0.9096,4
"(0, 2, 3, 4, 5, 6, 7, 8, 9)",0.9155,4
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.908,4
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.91,4
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.9152,4
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.9116,4
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.907,4
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.9096,4
"(0, 1, 3, 4, 5, 6, 7, 8, 9)",0.9173,4
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.9069,4
"(7, 4, 6, 9, 3, 8, 0, 2, 1, 5)",0.9272,5
"(0, 1, 2, 3, 4, 5, 6, 8, 9)",0.9261,5
"(0, 1, 2, 3, 5, 6, 7, 8, 9)",0.9257,5
"(0, 1, 2, 3, 4, 5, 7, 8, 9)",0.9265,5
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",0.9256,5
"(0, 1, 2, 4, 5, 6, 7, 8, 9)",0.9268,5
"(0, 1, 2, 3, 4, 5, 6, 7, 9)",0.9228,5
"(1, 2, 3, 4, 5, 6, 7, 8, 9)",0.9286,5
