iteration,node_id,loss,accuracy,full_loss,full_accuracy
0,0,0.3984339588111447,0.8561821003621314,"[0.7178594075864361, 0.5160200740060499, 0.3984339588111447]","[0.7366787377133989, 0.8101396792550439, 0.8561821003621314]"
0,8,0.7560778305386052,0.6574344023323615,"[1.1449089104479009, 0.9024508992830912, 0.7560778305386052]","[0.4897959183673469, 0.5821185617103984, 0.6574344023323615]"
0,12,0.4155021982808267,0.8294297352342159,"[0.824557985028913, 0.5571911171559365, 0.4155021982808267]","[0.6675152749490835, 0.7703665987780041, 0.8294297352342159]"
0,7,0.7573387695081306,0.6793187347931874,"[1.1019262743718696, 0.8926791061054576, 0.7573387695081306]","[0.51338199513382, 0.5902676399026764, 0.6793187347931874]"
0,3,0.9065430688135552,0.6029126213592233,"[1.1419750307545518, 0.9987666299848845, 0.9065430688135552]","[0.4883495145631068, 0.5300970873786408, 0.6029126213592233]"
0,5,0.7795565240085125,0.658321060382916,"[1.0992385298013687, 0.8862082343548536, 0.7795565240085125]","[0.5228276877761414, 0.6023564064801178, 0.658321060382916]"
0,13,0.40757703877264456,0.8323139653414883,"[0.7811815575245888, 0.5377581206060225, 0.40757703877264456]","[0.6906218144750255, 0.7782874617737003, 0.8323139653414883]"
0,2,0.3899803971250852,0.8703606900156822,"[0.7077970971663793, 0.4735173841317495, 0.3899803971250852]","[0.7438578149503398, 0.8301097752221641, 0.8703606900156822]"
0,14,0.4149881034128128,0.8316326530612245,"[0.7440640878292822, 0.5046559312651234, 0.4149881034128128]","[0.6959183673469388, 0.7969387755102041, 0.8316326530612245]"
0,4,0.7381332982331514,0.6772616136919315,"[1.2311976421624422, 0.9082984179258347, 0.7381332982331514]","[0.45672371638141807, 0.5682151589242054, 0.6772616136919315]"
0,9,0.7331631649285555,0.6821971554683669,"[1.1575414836406708, 0.9718761052936316, 0.7331631649285555]","[0.47081902893575284, 0.5483079941147622, 0.6821971554683669]"
0,1,0.4135448639591535,0.8520833333333333,"[0.7149362703164418, 0.5094006230433782, 0.4135448639591535]","[0.7421875, 0.809375, 0.8520833333333333]"
0,6,0.7633050205186009,0.6746692797648212,"[1.0898227170109749, 0.9000149536877871, 0.7633050205186009]","[0.5159235668789809, 0.5850073493385596, 0.6746692797648212]"
0,11,0.3746076351211917,0.8656488549618321,"[0.799883299296902, 0.49838390273432576, 0.3746076351211917]","[0.6860050890585242, 0.7918575063613231, 0.8656488549618321]"
0,10,0.39558869504159494,0.8365384615384616,"[0.7864496957871222, 0.5505676548327169, 0.39558869504159494]","[0.6791497975708503, 0.7798582995951417, 0.8365384615384616]"
1,2,0.3393922453125318,0.8834291688447464,"[0.7038405726353327, 0.44706810067097347, 0.3393922453125318]","[0.7637219027705175, 0.8499738630423419, 0.8834291688447464]"
1,12,0.33826189319933614,0.869653767820774,"[0.6832540477475813, 0.44618817635120883, 0.33826189319933614]","[0.7311608961303462, 0.8263747454175153, 0.869653767820774]"
1,3,0.7202885421839628,0.704368932038835,"[1.0091381885788657, 0.8332467819705154, 0.7202885421839628]","[0.5339805825242718, 0.6354368932038835, 0.704368932038835]"
1,14,0.3192426793036922,0.875,"[0.6365382190673582, 0.44966452592803585, 0.3192426793036922]","[0.7387755102040816, 0.8193877551020409, 0.875]"
1,7,0.6660376434976404,0.7211678832116788,"[0.9705307140494838, 0.8356581221927296, 0.6660376434976404]","[0.5654501216545013, 0.6428223844282238, 0.7211678832116788]"
1,1,0.37508905231952666,0.8645833333333334,"[0.6727918028831482, 0.4328846365213394, 0.37508905231952666]","[0.7734375, 0.85, 0.8645833333333334]"
1,5,0.7029346888884902,0.7015218458517427,"[0.9907423593103886, 0.8256656602025032, 0.7029346888884902]","[0.5714285714285714, 0.6342660775650466, 0.7015218458517427]"
1,9,0.6361029278486967,0.7366356056890633,"[1.0144190844148397, 0.7945019975304604, 0.6361029278486967]","[0.5424227562530652, 0.6527709661598823, 0.7366356056890633]"
1,6,0.7266650330275297,0.6874081332680059,"[0.9938487913459539, 0.8090907409787178, 0.7266650330275297]","[0.5654091131798138, 0.6467417932386085, 0.6874081332680059]"
1,8,0.710850920641061,0.6967930029154519,"[0.9964926874998844, 0.7796933488412336, 0.710850920641061]","[0.5568513119533528, 0.6530612244897959, 0.6967930029154519]"
1,13,0.3023390721890234,0.8756371049949032,"[0.6765044168118508, 0.42732046111937494, 0.3023390721890234]","[0.7288481141692151, 0.8287461773700305, 0.8756371049949032]"
1,11,0.29196394499271144,0.8905852417302799,"[0.6833120440283129, 0.42417361659388386, 0.29196394499271144]","[0.7236641221374046, 0.8391857506361323, 0.8905852417302799]"
1,0,0.38227508385335246,0.8685980341438179,"[0.7256161637844578, 0.5135912731770547, 0.38227508385335246]","[0.7423693740300051, 0.8168649767201241, 0.8685980341438179]"
1,4,0.633064036257565,0.7334963325183375,"[1.0010202713310719, 0.8076760284602642, 0.633064036257565]","[0.5466992665036675, 0.6484107579462103, 0.7334963325183375]"
1,10,0.3482635650903948,0.8643724696356275,"[0.6658126269617388, 0.44937616971231276, 0.3482635650903948]","[0.7338056680161943, 0.8304655870445344, 0.8643724696356275]"
2,8,0.5251547080097776,0.7847424684159378,"[0.9178876876831055, 0.7188910218802366, 0.5251547080097776]","[0.6156462585034014, 0.6938775510204082, 0.7847424684159378]"
2,12,0.23023665504109475,0.9195519348268839,"[0.5511868961395756, 0.36339393450367835, 0.23023665504109475]","[0.7815682281059063, 0.8630346232179226, 0.9195519348268839]"
2,0,0.3501275797044077,0.8742886704604242,"[0.6406198172800003, 0.4267035592948237, 0.3501275797044077]","[0.7884117951370926, 0.8442834971546819, 0.8742886704604242]"
2,10,0.2319302816064127,0.9124493927125507,"[0.5688181432985491, 0.3462415198164602, 0.2319302816064127]","[0.7682186234817814, 0.8704453441295547, 0.9124493927125507]"
2,5,0.5539882946759462,0.7756504663721159,"[0.896482927724719, 0.7229922106489539, 0.5539882946759462]","[0.6121747668139421, 0.6971035837015218, 0.7756504663721159]"
2,9,0.530441309325397,0.7876410004904365,"[0.887317506596446, 0.7528178468346596, 0.530441309325397]","[0.6194212849435998, 0.678273663560569, 0.7876410004904365]"
2,3,0.5865711064049692,0.7674757281553398,"[0.9059406573122198, 0.7733058116652749, 0.5865711064049692]","[0.6116504854368932, 0.6679611650485436, 0.7674757281553398]"
2,14,0.26825890978497846,0.9015306122448979,"[0.5130623574218443, 0.3563333994919254, 0.26825890978497846]","[0.7933673469387755, 0.8571428571428571, 0.9015306122448979]"
2,13,0.2254105181463303,0.9138634046890928,"[0.5444865015245253, 0.35356618944675694, 0.2254105181463303]","[0.7777777777777778, 0.8623853211009175, 0.9138634046890928]"
2,4,0.5406016185879707,0.7863080684596577,"[0.9109939951449633, 0.704064754769206, 0.5406016185879707]","[0.6014669926650367, 0.7017114914425427, 0.7863080684596577]"
2,7,0.6820927840290647,0.7114355231143552,"[0.8953250736901255, 0.7469947916088682, 0.6820927840290647]","[0.6034063260340633, 0.689051094890511, 0.7114355231143552]"
2,1,0.2786532481511434,0.9104166666666667,"[0.6109361285964648, 0.392435688773791, 0.2786532481511434]","[0.80625, 0.8614583333333333, 0.9104166666666667]"
2,6,0.563505438156426,0.7648211660950515,"[0.8666319418698549, 0.702785799279809, 0.563505438156426]","[0.6354728074473297, 0.6957373836354728, 0.7648211660950515]"
2,2,0.30520856032768884,0.8964976476738108,"[0.6417894333600997, 0.4217241202791532, 0.30520856032768884]","[0.7856769472033456, 0.8536330371144799, 0.8964976476738108]"
2,11,0.22794517994888366,0.9134860050890585,"[0.5576366714892849, 0.32475889882733744, 0.22794517994888366]","[0.7816793893129771, 0.8798982188295166, 0.9134860050890585]"
3,12,0.20253402595558473,0.9256619144602851,"[0.45444061198542196, 0.33633897525648915, 0.20253402595558473]","[0.8192464358452138, 0.8706720977596741, 0.9256619144602851]"
3,13,0.15676514672175532,0.9413863404689092,"[0.47835141901047, 0.25254425262251207, 0.15676514672175532]","[0.8037716615698267, 0.9036697247706422, 0.9413863404689092]"
3,14,0.13784157424684493,0.9571428571428572,"[0.5007283524159463, 0.24287795635961718, 0.13784157424684493]","[0.8051020408163265, 0.9107142857142857, 0.9571428571428572]"
3,4,0.4171724868938327,0.8361858190709046,"[0.7591659091413021, 0.5969713609665632, 0.4171724868938327]","[0.6899755501222494, 0.7599022004889976, 0.8361858190709046]"
3,11,0.12351969797765056,0.9597964376590331,"[0.49113432342006313, 0.26768486682445775, 0.12351969797765056]","[0.8081424936386769, 0.8987277353689568, 0.9597964376590331]"
3,3,0.44060457384947577,0.833495145631068,"[0.820905864238739, 0.6227289140224457, 0.44060457384947577]","[0.6679611650485436, 0.7509708737864078, 0.833495145631068]"
3,5,0.4036583644337952,0.842906234658812,"[0.8133465116843581, 0.6112869884818792, 0.4036583644337952]","[0.6745213549337261, 0.7540500736377025, 0.842906234658812]"
3,6,0.4079125076532364,0.8407643312101911,"[0.7997832652181387, 0.6131819766014814, 0.4079125076532364]","[0.679078882900539, 0.7486526212640863, 0.8407643312101911]"
3,7,0.5626080198721453,0.7746958637469586,"[0.755754727305788, 0.6923055079850283, 0.5626080198721453]","[0.6978102189781021, 0.7172749391727494, 0.7746958637469586]"
3,0,0.22370893964844366,0.925504397309881,"[0.5769614418668132, 0.36916438898732584, 0.22370893964844366]","[0.8122090015519917, 0.8582514226590792, 0.925504397309881]"
3,8,0.43349115685983136,0.8420796890184645,"[0.7524873578187191, 0.6176964785113479, 0.43349115685983136]","[0.7031098153547133, 0.7531584062196307, 0.8420796890184645]"
3,2,0.2149042358001073,0.9315211709357031,"[0.5394563873608907, 0.30789556354284286, 0.2149042358001073]","[0.8233141662310507, 0.8991113434396236, 0.9315211709357031]"
3,10,0.160878679084201,0.9453441295546559,"[0.5086880172452619, 0.2875777257065619, 0.160878679084201]","[0.7950404858299596, 0.8932186234817814, 0.9453441295546559]"
3,1,0.19892180462678274,0.9328125,"[0.5566289310654005, 0.305863951643308, 0.19892180462678274]","[0.8161458333333333, 0.89375, 0.9328125]"
3,9,0.44312884006649256,0.8337420304070623,"[0.8089792225509882, 0.6532163098454475, 0.44312884006649256]","[0.6645414418832761, 0.7312408043158412, 0.8337420304070623]"
4,2,0.13577664246161777,0.9613173026659697,"[0.47140792359908423, 0.2383089229464531, 0.13577664246161777]","[0.8447464715107161, 0.9200209095661265, 0.9613173026659697]"
4,11,0.06914239656180143,0.9821882951653944,"[0.41282474754318116, 0.15937506191192136, 0.06914239656180143]","[0.8412213740458016, 0.9491094147582697, 0.9821882951653944]"
4,13,0.105348140001297,0.9673802242609582,"[0.39459131754213767, 0.19692312829917477, 0.105348140001297]","[0.8532110091743119, 0.9271151885830785, 0.9673802242609582]"
4,8,0.2687755527369904,0.9052478134110787,"[0.6763359353397832, 0.4880033713398558, 0.2687755527369904]","[0.7356656948493683, 0.8109815354713313, 0.9052478134110787]"
4,3,0.3476239411216794,0.870873786407767,"[0.7517866582581492, 0.541668440356399, 0.3476239411216794]","[0.6932038834951456, 0.791747572815534, 0.870873786407767]"
4,14,0.07304145041252336,0.9780612244897959,"[0.39303320405944703, 0.18376897756130464, 0.07304145041252336]","[0.8489795918367347, 0.9341836734693878, 0.9780612244897959]"
4,9,0.2882158779539168,0.8955370279548799,"[0.6907313168048859, 0.5218951795250177, 0.2882158779539168]","[0.7229033840117705, 0.7910740559097597, 0.8955370279548799]"
4,4,0.24217368382960558,0.9168704156479217,"[0.7184237334877253, 0.4476941954344511, 0.24217368382960558]","[0.7134474327628362, 0.8220048899755501, 0.9168704156479217]"
4,0,0.18752370606507024,0.9389549922400414,"[0.5208829790353775, 0.2980313478938995, 0.18752370606507024]","[0.83445421624418, 0.9037765131919296, 0.9389549922400414]"
4,5,0.3165711658075452,0.8787432498772705,"[0.713596816174686, 0.5071618491783738, 0.3165711658075452]","[0.7147766323024055, 0.7903780068728522, 0.8787432498772705]"
4,6,0.26278098532930017,0.9005389514943655,"[0.7414592187851667, 0.46707088872790337, 0.26278098532930017]","[0.7021068103870651, 0.8128368446839784, 0.9005389514943655]"
4,12,0.08729156968934883,0.9740325865580448,"[0.45852029660055715, 0.2143750685837961, 0.08729156968934883]","[0.8294297352342159, 0.9215885947046843, 0.9740325865580448]"
4,7,0.4902909876722278,0.813625304136253,"[0.7035080754395687, 0.4893411334716912, 0.4902909876722278]","[0.7274939172749392, 0.8097323600973236, 0.813625304136253]"
4,10,0.0739197262953366,0.979251012145749,"[0.4189074058686533, 0.20295508181856525, 0.0739197262953366]","[0.8451417004048583, 0.9316801619433198, 0.979251012145749]"
4,1,0.1243000344062845,0.9614583333333333,"[0.4920964772502581, 0.2185622786482175, 0.1243000344062845]","[0.8364583333333333, 0.9322916666666666, 0.9614583333333333]"
5,12,0.049170564860105515,0.9857433808553971,"[0.3646827647762914, 0.11260077573599354, 0.049170564860105515]","[0.860488798370672, 0.9663951120162932, 0.9857433808553971]"
5,4,0.1648850655183196,0.9462102689486552,"[0.6359332567080855, 0.36324323853477836, 0.1648850655183196]","[0.7623471882640587, 0.8606356968215159, 0.9462102689486552]"
5,0,0.1348654683078489,0.966373512674599,"[0.48104851332403, 0.21492133313609707, 0.1348654683078489]","[0.8401448525607863, 0.9358510087946198, 0.966373512674599]"
5,3,0.2896941313237855,0.8956310679611651,"[0.6858262510010691, 0.4394326119711905, 0.2896941313237855]","[0.7325242718446602, 0.8446601941747572, 0.8956310679611651]"
5,13,0.029448166219217163,0.9938837920489296,"[0.37377105941695554, 0.10937616211031714, 0.029448166219217163]","[0.8557594291539246, 0.9612640163098879, 0.9938837920489296]"
5,11,0.04431334077831237,0.9867684478371501,"[0.37239865862554117, 0.13103274616502947, 0.04431334077831237]","[0.8692111959287532, 0.9572519083969465, 0.9867684478371501]"
5,2,0.08439624980092049,0.9722948248823837,"[0.4702742487192154, 0.16331767613689105, 0.08439624980092049]","[0.8494511238891793, 0.9524307370622059, 0.9722948248823837]"
5,10,0.05006216601618836,0.9843117408906883,"[0.38206113442297907, 0.13342799642874348, 0.05006216601618836]","[0.8623481781376519, 0.9519230769230769, 0.9843117408906883]"
5,8,0.16475899901353952,0.9436345966958212,"[0.6189168718728152, 0.35569554702802136, 0.16475899901353952]","[0.7463556851311953, 0.8610301263362488, 0.9436345966958212]"
5,7,0.4079420349814675,0.8457420924574209,"[0.6343374469063499, 0.35934070294553583, 0.4079420349814675]","[0.7523114355231143, 0.8710462287104623, 0.8457420924574209]"
5,5,0.17435853136703372,0.9499263622974963,"[0.665365656837821, 0.3663283493369818, 0.17435853136703372]","[0.7457044673539519, 0.8640157093765342, 0.9499263622974963]"
5,14,0.04369837550386306,0.9897959183673469,"[0.35030466846881375, 0.11010111904432697, 0.04369837550386306]","[0.8739795918367347, 0.9663265306122449, 0.9897959183673469]"
5,1,0.06871509707222383,0.984375,"[0.45023200710614525, 0.1863793338338534, 0.06871509707222383]","[0.8489583333333334, 0.9390625, 0.984375]"
5,9,0.17716595297679305,0.9435998038254046,"[0.6298415847122669, 0.3751814397983253, 0.17716595297679305]","[0.7518391368317803, 0.8656204021579206, 0.9435998038254046]"
5,6,0.17185531021095812,0.9485546300832925,"[0.6268799230456352, 0.40836190851405263, 0.17185531021095812]","[0.7515923566878981, 0.8378245957863792, 0.9485546300832925]"
6,12,0.0272844587602923,0.9964358452138493,"[0.3623594218684781, 0.10626332569987543, 0.0272844587602923]","[0.8721995926680245, 0.9653767820773931, 0.9964358452138493]"
6,0,0.11439174876338051,0.9653388515261252,"[0.42801531716700525, 0.15987858729016396, 0.11439174876338051]","[0.8629073978272116, 0.9560269011898603, 0.9653388515261252]"
6,14,0.017235433652756676,0.9979591836734694,"[0.33882431806095187, 0.08188508294763104, 0.017235433652756676]","[0.8729591836734694, 0.975, 0.9979591836734694]"
6,10,0.02927094498168557,0.9924089068825911,"[0.3599644197571662, 0.07202849669321891, 0.02927094498168557]","[0.8653846153846154, 0.9822874493927125, 0.9924089068825911]"
6,11,0.02737128368068126,0.9949109414758269,"[0.3063948512558014, 0.10499638150776586, 0.02737128368068126]","[0.8931297709923665, 0.9669211195928753, 0.9949109414758269]"
6,13,0.018692732202790437,0.9979612640163099,"[0.36374780727970984, 0.08035015092501717, 0.018692732202790437]","[0.8741080530071356, 0.9755351681957186, 0.9979612640163099]"
6,4,0.10881418985081837,0.9662591687041565,"[0.5827851658686996, 0.2579560149461031, 0.10881418985081837]","[0.7789731051344744, 0.9066014669926651, 0.9662591687041565]"
6,8,0.21779016902049383,0.922740524781341,"[0.5504909780892459, 0.32650378256133106, 0.21779016902049383]","[0.7949465500485908, 0.8824101068999028, 0.922740524781341]"
6,2,0.06409470948080222,0.9811813904861474,"[0.41877778818209965, 0.13250072486698627, 0.06409470948080222]","[0.8677469942498693, 0.9602718243596445, 0.9811813904861474]"
6,3,0.31555746269948554,0.8941747572815534,"[0.5927913604360638, 0.3701636150027766, 0.31555746269948554]","[0.7708737864077669, 0.8718446601941747, 0.8941747572815534]"
6,1,0.045293659220139185,0.9911458333333333,"[0.46858959595362343, 0.145721813912193, 0.045293659220139185]","[0.8479166666666667, 0.959375, 0.9911458333333333]"
6,5,0.08112490293569863,0.9774177712322042,"[0.6064169164747, 0.2584059042856097, 0.08112490293569863]","[0.7677957781050565, 0.907707412862052, 0.9774177712322042]"
6,6,0.09966349333990365,0.9686428221460068,"[0.5818183301016688, 0.28991791093721986, 0.09966349333990365]","[0.7751102400783929, 0.8912297893189612, 0.9686428221460068]"
6,9,0.0726540993200615,0.9779303580186366,"[0.5954294940456748, 0.2112892095465213, 0.0726540993200615]","[0.7685139774399216, 0.9288867091711623, 0.9779303580186366]"
6,7,0.32549882635022653,0.8793187347931873,"[0.5982840910102382, 0.3822858735467448, 0.32549882635022653]","[0.7805352798053528, 0.8627737226277372, 0.8793187347931873]"
7,6,0.06967911560786888,0.9838314551690348,"[0.5257360571995378, 0.20370205026119947, 0.06967911560786888]","[0.7996080352768251, 0.9269965703086722, 0.9838314551690348]"
7,4,0.055303039436694235,0.9863080684596577,"[0.5438879048451781, 0.19268670654855669, 0.055303039436694235]","[0.79559902200489, 0.9374083129584352, 0.9863080684596577]"
7,9,0.03523249280988239,0.9950956351152526,"[0.5072525879368186, 0.17678645765408874, 0.03523249280988239]","[0.8195193722412948, 0.9406571848945562, 0.9950956351152526]"
7,1,0.043144134183724724,0.9890625,"[0.4538622543215752, 0.10437129667649667, 0.043144134183724724]","[0.8432291666666667, 0.971875, 0.9890625]"
7,7,0.23846402086994864,0.9148418491484185,"[0.531326129580989, 0.3895193866708062, 0.23846402086994864]","[0.8087591240875912, 0.8618004866180049, 0.9148418491484185]"
7,11,0.012704858195877845,0.9989821882951654,"[0.3355206991395643, 0.04553659206196185, 0.012704858195877845]","[0.8880407124681934, 0.9893129770992366, 0.9989821882951654]"
7,14,0.01472329995745132,0.9989795918367347,"[0.30533001752149674, 0.06544736736724453, 0.01472329995745132]","[0.888265306122449, 0.9801020408163266, 0.9989795918367347]"
7,12,0.012899321113382616,0.9994908350305499,"[0.32275962589248536, 0.0736560779473474, 0.012899321113382616]","[0.8905295315682281, 0.9775967413441955, 0.9994908350305499]"
7,0,0.13271802735905494,0.9627521986549405,"[0.4299532525962399, 0.15619792873340269, 0.13271802735905494]","[0.8613554061045008, 0.9570615623383342, 0.9627521986549405]"
7,2,0.0442808272006611,0.9879769994772608,"[0.37863098705808323, 0.10334544815123081, 0.0442808272006611]","[0.8734971249346576, 0.9675901725039205, 0.9879769994772608]"
7,8,0.3099368821942445,0.8950437317784257,"[0.4992542402310805, 0.2752900931871299, 0.3099368821942445]","[0.8197278911564626, 0.9003887269193391, 0.8950437317784257]"
7,5,0.04789027344668284,0.9901816396661758,"[0.5359724713489413, 0.19733909307979047, 0.04789027344668284]","[0.8070692194403535, 0.9347079037800687, 0.9901816396661758]"
7,13,0.013549107667659559,0.9994903160040775,"[0.29845308464381004, 0.05788270540295109, 0.013549107667659559]","[0.8950050968399592, 0.9836901121304791, 0.9994903160040775]"
7,10,0.015656445085281325,0.9979757085020243,"[0.3191546816979685, 0.09216201617833107, 0.015656445085281325]","[0.8866396761133604, 0.97165991902834, 0.9979757085020243]"
7,3,0.13083095549408233,0.958252427184466,"[0.5478188747709448, 0.33039628104730084, 0.13083095549408233]","[0.7990291262135922, 0.8864077669902912, 0.958252427184466]"
