test_loss,accuracy,f1score,precision,recall,accuracy_per_0,accuracy_per_1,accuracy_per_2,accuracy_per_3,accuracy_per_4,accuracy_per_5,accuracy_per_6,accuracy_per_7,accuracy_per_8,accuracy_per_9,node_id,epoch
2.9657551182640924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0,0
2.9618583387798734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,1,0
2.9406959348254733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,2,0
2.9395460022820368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,3,0
2.9502969715330334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,4,0
2.971141727347123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,5,0
2.9496402740478516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,6,0
1.5206645197338529,0.5282685512367491,0.23044315992292871,0.17608951707891637,0.3333333333333333,nan,nan,nan,nan,0.0,0.0,1.0,nan,nan,nan,7,0
1.5109039213922288,0.5125,0.2258953168044077,0.1708333333333333,0.3333333333333333,nan,nan,nan,nan,0.0,0.0,1.0,nan,nan,nan,8,0
1.522193690141042,0.48936170212765956,0.21904761904761905,0.1631205673758865,0.3333333333333333,nan,nan,nan,nan,0.0,0.0,1.0,nan,nan,nan,9,0
1.4780192308955722,0.5478723404255319,0.2359679266895762,0.1826241134751773,0.3333333333333333,nan,nan,nan,nan,0.0,0.0,1.0,nan,nan,nan,10,0
1.523590452141232,0.5212014134275619,0.22841656987998452,0.17373380447585396,0.3333333333333333,nan,nan,nan,nan,0.0,0.0,1.0,nan,nan,nan,11,0
1.5328169001473322,0.4850615114235501,0.21775147928994085,0.1616871704745167,0.3333333333333333,nan,nan,nan,nan,0.0,0.0,1.0,nan,nan,nan,12,0
1.5199881262249417,0.511504424778761,0.22560499609679938,0.17050147492625367,0.3333333333333333,nan,nan,nan,nan,0.0,0.0,1.0,nan,nan,nan,13,0
1.5301393270492554,0.5391459074733096,0.23352601156069364,0.1797153024911032,0.3333333333333333,nan,nan,nan,nan,0.0,0.0,1.0,nan,nan,nan,14,0
1.52248301770952,0.4767025089605735,0.21521035598705504,0.15890083632019117,0.3333333333333333,nan,nan,nan,nan,0.0,0.0,1.0,nan,nan,nan,15,0
1.5162498156229656,0.5026362038664324,0.22300194931773878,0.1675454012888108,0.3333333333333333,nan,nan,nan,nan,0.0,0.0,1.0,nan,nan,nan,16,0
1.5316912929217021,0.4875886524822695,0.21851410409217323,0.16252955082742318,0.3333333333333333,nan,nan,nan,nan,0.0,0.0,1.0,nan,nan,nan,17,0
1.530002276102702,0.47593582887700536,0.214975845410628,0.15864527629233513,0.3333333333333333,nan,nan,nan,nan,0.0,0.0,1.0,nan,nan,nan,18,0
1.5310428804821439,0.522202486678508,0.22870478413068843,0.17406749555950266,0.3333333333333333,nan,nan,nan,nan,0.0,0.0,1.0,nan,nan,nan,19,0
1.528330511516995,0.5195035460992907,0.22792687670167253,0.17316784869976357,0.3333333333333333,nan,nan,nan,nan,0.0,0.0,1.0,nan,nan,nan,20,0
2.1246848106384277,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,21,0
2.1251958117765537,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,22,0
2.1082779940436867,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,23,0
2.137417386559879,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,24,0
2.122292953379014,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,25,0
2.1472957531611123,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,26,0
2.110521975685568,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,27,0
2.1320960381451775,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,28,0
2.11745023727417,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,29,0
3.636385851436191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0,1
3.6590547694100275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,1,1
3.568955010837979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,2,1
3.5947865115271673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,3,1
3.6011676258511014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,4,1
3.6751763946131657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,5,1
3.567436456680298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,6,1
1.0221368736690946,0.7809187279151943,0.5813339781009291,0.6034644194756554,0.5759250052728313,nan,nan,nan,nan,0.4230769230769231,0.990990990990991,0.8896321070234113,nan,nan,nan,7,1
1.0169248945183225,0.7696428571428572,0.5769935317486208,0.6123470683287164,0.5678838313951368,nan,nan,nan,nan,0.42168674698795183,0.9439252336448598,0.9059233449477352,nan,nan,nan,8,1
1.0196774535708957,0.776595744680851,0.5874991749719491,0.6231512868801005,0.5823977439268109,nan,nan,nan,nan,0.4438202247191011,0.9727272727272728,0.9130434782608695,nan,nan,nan,9,1
1.0231502453486125,0.7624113475177305,0.5816286887715458,0.6168711059190031,0.5704250439381526,nan,nan,nan,nan,0.441340782122905,0.9342105263157895,0.9061488673139159,nan,nan,nan,10,1
1.026812149418725,0.7932862190812721,0.5931254867945319,0.6261128026678267,0.5854608351722836,nan,nan,nan,nan,0.44171779141104295,0.9814814814814815,0.9186440677966101,nan,nan,nan,11,1
1.0200089944733515,0.7926186291739895,0.7959998156117091,0.8310539258701533,0.7887820781324174,nan,nan,nan,nan,0.48554913294797686,0.975,0.9057971014492754,nan,nan,nan,12,1
1.0303166210651398,0.7876106194690266,0.5946624435616484,0.6292554095389147,0.5901642604303385,nan,nan,nan,nan,0.4367816091954023,1.0,0.9238754325259516,nan,nan,nan,13,1
1.0274687144491408,0.8113879003558719,0.6016113187782692,0.6276396295107256,0.5912431804404931,nan,nan,nan,nan,0.4897959183673469,0.9642857142857143,0.9108910891089109,nan,nan,nan,14,1
1.006108866797553,0.7831541218637993,0.5969121038867279,0.625220096407023,0.5928374257321626,nan,nan,nan,nan,0.4835164835164835,0.9818181818181818,0.9060150375939849,nan,nan,nan,15,1
1.0246965653366513,0.7627416520210897,0.5781589878387844,0.6132717549829849,0.5702025295885226,nan,nan,nan,nan,0.4293785310734463,0.9528301886792453,0.8986013986013986,nan,nan,nan,16,1
1.0238001181019678,0.7783687943262412,0.5864221589136959,0.6121653987038602,0.5809866415635646,nan,nan,nan,nan,0.44970414201183434,0.9833333333333333,0.8909090909090909,nan,nan,nan,17,1
1.0189789964093103,0.8021390374331551,0.6081331409189916,0.6400931875987513,0.6010693761775192,nan,nan,nan,nan,0.5139664804469274,0.9652173913043478,0.9250936329588015,nan,nan,nan,18,1
