iteration,node_id,loss,accuracy,full_loss,full_accuracy
0,0,1.9448600519134338,0.2544356360890902,"[2.2572836875915527, 2.1916303519743034, 1.9448600519134338]","[0.17138542846357116, 0.19818799546998866, 0.2544356360890902]"
0,8,2.0920282315058882,0.1760271390878251,"[2.281160377594362, 2.216245254838323, 2.0920282315058882]","[0.1375800980022616, 0.16547304937806256, 0.1760271390878251]"
0,12,2.133144659655435,0.16647919010123735,"[2.2521569643701826, 2.194014546417055, 2.133144659655435]","[0.16647919010123735, 0.1679790026246719, 0.16647919010123735]"
0,7,2.0612421319598244,0.18972628421447318,"[2.2803395305361067, 2.2139864620708285, 2.0612421319598244]","[0.1492313460817398, 0.16647919010123735, 0.18972628421447318]"
0,3,1.8780067670776184,0.26686769694685264,"[2.256507457020771, 2.189771959580571, 1.8780067670776184]","[0.1692423671315492, 0.2009046362608368, 0.26686769694685264]"
0,5,2.0892352698797203,0.1793129482823707,"[2.280127712042935, 2.2159897534244033, 2.0892352698797203]","[0.1468478671196678, 0.16496791241978104, 0.1793129482823707]"
0,13,2.1335374504686837,0.16584998115341124,"[2.252077102661133, 2.1944688285689757, 2.1335374504686837]","[0.15981907274783264, 0.1613267998492273, 0.16584998115341124]"
0,2,1.881892435607456,0.2714660667416573,"[2.2568681779361905, 2.1899637892132713, 1.881892435607456]","[0.1766029246344207, 0.19347581552305962, 0.2714660667416573]"
0,14,2.1338289238157726,0.1728395061728395,"[2.251218026592618, 2.193441731589181, 2.1338289238157726]","[0.1728395061728395, 0.1728395061728395, 0.1728395061728395]"
0,4,1.8947931329409282,0.2674897119341564,"[2.256955771219163, 2.1902671427953813, 1.8947931329409282]","[0.16573138795361017, 0.18742985409652077, 0.2674897119341564]"
0,9,2.0511341378802346,0.18555929667040777,"[2.2791309385072616, 2.213338318325224, 2.0511341378802346]","[0.1537598204264871, 0.1732136176580621, 0.18555929667040777]"
0,1,1.8710762879934655,0.27807083647324793,"[2.253885401300637, 2.187253739460405, 1.8710762879934655]","[0.1850037678975132, 0.21062547098718915, 0.27807083647324793]"
0,6,2.077657011618097,0.17370007535795026,"[2.2801001847508444, 2.2150277603103454, 2.077657011618097]","[0.1480783722682743, 0.16880180859080632, 0.17370007535795026]"
0,11,2.135768786970391,0.17407686510926904,"[2.250903284693339, 2.1938986921884926, 2.135768786970391]","[0.17294649585531274, 0.17445365486058778, 0.17407686510926904]"
0,10,2.139293659164245,0.17251793129482823,"[2.250178167618901, 2.193598595010229, 2.139293659164245]","[0.17138542846357116, 0.17176292940732352, 0.17251793129482823]"
1,2,0.4706736680652414,0.8507686539182602,"[1.1346152119693302, 0.6288924050473031, 0.4706736680652414]","[0.5714285714285714, 0.7945256842894638, 0.8507686539182602]"
1,12,0.7401593778105009,0.7232845894263217,"[1.5029591917991638, 0.9246940293482372, 0.7401593778105009]","[0.4049493813273341, 0.6467941507311586, 0.7232845894263217]"
1,3,0.5098240445536303,0.8431963814549567,"[1.1141018027282623, 0.5898447446076267, 0.5098240445536303]","[0.5898982284206559, 0.7983415001884658, 0.8431963814549567]"
1,14,0.7174896413371676,0.7343808454919566,"[1.4904513933828898, 0.8935156375879333, 0.7174896413371676]","[0.409652076318743, 0.6621773288439955, 0.7343808454919566]"
1,7,0.7201090941116923,0.6670416197975253,"[1.325988932024865, 0.8035858947606314, 0.7201090941116923]","[0.45219347581552305, 0.6287964004499438, 0.6670416197975253]"
1,1,0.49545421280774726,0.8360964581763376,"[1.1550810925931816, 0.6387536238475018, 0.49545421280774726]","[0.5568952524491334, 0.7863602110022607, 0.8360964581763376]"
1,5,0.7103810342679541,0.6674216685541714,"[1.3115223524082138, 0.7685440304767654, 0.7103810342679541]","[0.46847867119667796, 0.6357115892789732, 0.6674216685541714]"
1,9,0.697309098428204,0.6790123456790124,"[1.2751033781539827, 0.8035848474218732, 0.697309098428204]","[0.4788627010849233, 0.6255144032921811, 0.6790123456790124]"
1,6,0.7060081542256367,0.6850037678975132,"[1.341952498418739, 0.8054653470774731, 0.7060081542256367]","[0.4559155990957046, 0.6262245666917859, 0.6850037678975132]"
1,8,0.712430795632213,0.6701846965699209,"[1.2954331320452404, 0.8215148836733347, 0.712430795632213]","[0.4707877874104787, 0.6294760648322654, 0.6701846965699209]"
1,13,0.7467792052102377,0.7173011684885036,"[1.5015481782246785, 0.8573615777205272, 0.7467792052102377]","[0.41198643045608746, 0.6720693554466641, 0.7173011684885036]"
1,11,0.7767943233610636,0.7087415222305953,"[1.5190879760018314, 0.9097774484789515, 0.7767943233610636]","[0.40806330067822155, 0.6510926902788244, 0.7087415222305953]"
1,0,0.5367208033441061,0.8391845979614949,"[1.1278050039187972, 0.6217107424534947, 0.5367208033441061]","[0.5885239713099283, 0.7946394865987165, 0.8391845979614949]"
1,4,0.4552444081221308,0.8552188552188552,"[1.1084471362687291, 0.6327076391095207, 0.4552444081221308]","[0.5899738121960344, 0.7882528993640104, 0.8552188552188552]"
1,10,0.7505014653665474,0.7149867874669686,"[1.5753304850624268, 0.9432169981749661, 0.7505014653665474]","[0.3820309550773877, 0.6315590788976972, 0.7149867874669686]"
2,8,0.6175139058067138,0.7267244628722201,"[0.8232657284621733, 0.6920023844184646, 0.6175139058067138]","[0.6464379947229552, 0.6977007161703732, 0.7267244628722201]"
2,12,0.6069328479823612,0.7705286839145107,"[0.837114984080905, 0.6886864865110034, 0.6069328479823612]","[0.6974128233970753, 0.7442819647544057, 0.7705286839145107]"
2,0,0.4586183775261224,0.8663646659116648,"[0.5647953718182552, 0.45911296439099025, 0.4586183775261224]","[0.8233295583238958, 0.8576821442053605, 0.8663646659116648]"
2,10,0.6331254872212927,0.7663269158172895,"[0.9048172745359949, 0.6997711342501353, 0.6331254872212927]","[0.6742166855417139, 0.7376368440921103, 0.7663269158172895]"
2,5,0.601754545088274,0.7319743299358248,"[0.804808477321303, 0.6414598151143774, 0.601754545088274]","[0.642884107210268, 0.7149867874669686, 0.7319743299358248]"
2,9,0.6136478575922194,0.7336326225215114,"[0.7944816993105979, 0.676795866163004, 0.6136478575922194]","[0.6468387579498691, 0.7070707070707071, 0.7336326225215114]"
2,3,0.4158571258366826,0.8771202412363363,"[0.5959292409649815, 0.43176663909331864, 0.4158571258366826]","[0.8141726347531096, 0.8710893328307576, 0.8771202412363363]"
2,14,0.5950927776949746,0.7770295548073326,"[0.8233276900081408, 0.6797348697270665, 0.5950927776949746]","[0.7063224841002619, 0.7437336326225215, 0.7770295548073326]"
2,13,0.6290460438972496,0.761402186204297,"[0.8445419999490301, 0.6590682483581175, 0.6290460438972496]","[0.6897851488880513, 0.7512250282698831, 0.761402186204297]"
2,4,0.3728833365298453,0.8836513280957725,"[0.5585833395875636, 0.4719715898945218, 0.3728833365298453]","[0.8181818181818182, 0.852600074822297, 0.8836513280957725]"
2,7,0.6400688833424023,0.72928383952006,"[0.8411028622871354, 0.6947347567904563, 0.6400688833424023]","[0.6344206974128234, 0.6951631046119235, 0.72928383952006]"
2,1,0.4161249155021576,0.8677467972871138,"[0.6000745011022292, 0.4620304198329707, 0.4161249155021576]","[0.8010550113036925, 0.8519216277317258, 0.8677467972871138]"
2,6,0.6105146537344139,0.7392614920874152,"[0.8238485728401735, 0.6832157294434237, 0.6105146537344139]","[0.6394122079879427, 0.7027128862094951, 0.7392614920874152]"
2,2,0.3878111651255971,0.8815148106486689,"[0.5811754301899955, 0.4679277295335418, 0.3878111651255971]","[0.8233970753655793, 0.8620172478440195, 0.8815148106486689]"
2,11,0.6478000530995518,0.7471740768651093,"[0.8586972029094236, 0.6562582864818802, 0.6478000530995518]","[0.6842501883948756, 0.7351168048229089, 0.7471740768651093]"
3,12,0.5502286986226127,0.7892763404574428,"[0.6641090820942607, 0.6129501637603555, 0.5502286986226127]","[0.7559055118110236, 0.7682789651293588, 0.7892763404574428]"
3,13,0.5724499270499471,0.789295137580098,"[0.6841580415346536, 0.577207117016057, 0.5724499270499471]","[0.7384093479080287, 0.7866566151526574, 0.789295137580098]"
