iteration,node_id,loss,accuracy,full_loss,full_accuracy
0,0,1.5811578712345642,0.333203429462198,"[2.2241477259883173, 2.0618380661363953, 1.5811578712345642]","[0.22525331254871395, 0.31605611847233045, 0.333203429462198]"
0,8,1.2037658683665386,0.5906288532675709,"[2.1113546931898437, 1.6739805565251933, 1.2037658683665386]","[0.591861898890259, 0.591861898890259, 0.5906288532675709]"
0,12,1.570445115864277,0.49471624266144815,"[2.2365891188383102, 1.9739274069666863, 1.570445115864277]","[0.3424657534246575, 0.49471624266144815, 0.49471624266144815]"
0,7,1.169009948705698,0.5668296658516707,"[2.12263937275131, 1.7184824215901362, 1.169009948705698]","[0.5704971475142624, 0.5704971475142624, 0.5668296658516707]"
0,3,1.1433893953050887,0.5662700041034058,"[2.1210817764331766, 1.7145093942617442, 1.1433893953050887]","[0.5711940910956094, 0.5711940910956094, 0.5662700041034058]"
0,5,1.2036031391713526,0.5778138967899228,"[2.1203147111000953, 1.7362077360029344, 1.2036031391713526]","[0.5818772856562373, 0.5818772856562373, 0.5778138967899228]"
0,13,1.5468566805124282,0.49921507064364207,"[2.234185662865639, 1.9574518844485282, 1.5468566805124282]","[0.3469387755102041, 0.49921507064364207, 0.49921507064364207]"
0,2,1.5871942326426507,0.3195150567070786,"[2.2242455005645754, 2.0647147938609125, 1.5871942326426507]","[0.23230348064137663, 0.30700039108330074, 0.3195150567070786]"
0,14,1.5262632250785828,0.5055161544523247,"[2.2337935239076616, 1.948270282149315, 1.5262632250785828]","[0.35224586288416077, 0.5059101654846335, 0.5055161544523247]"
0,4,1.1712088373146559,0.5750310045473336,"[2.1228898151924738, 1.7417719575919604, 1.1712088373146559]","[0.576271186440678, 0.576271186440678, 0.5750310045473336]"
0,9,1.1787581536676977,0.5869832173557102,"[2.1176037927726648, 1.71898913151258, 1.1787581536676977]","[0.586573884568154, 0.586573884568154, 0.5869832173557102]"
0,1,1.5458210868599973,0.32230439859867654,"[2.2226842332769325, 2.0495832716977156, 1.5458210868599973]","[0.24017127286882056, 0.3246399377189568, 0.32230439859867654]"
0,6,1.1777019044021508,0.5760065735414954,"[2.122613979624463, 1.7259028971969308, 1.1777019044021508]","[0.5792933442892358, 0.5792933442892358, 0.5760065735414954]"
0,11,1.5207236356373075,0.5089321159190154,"[2.230933476097976, 1.9443541252160375, 1.5207236356373075]","[0.3556967050416832, 0.5089321159190154, 0.5089321159190154]"
0,10,1.5478300228714943,0.5029562475364604,"[2.2343646585941315, 1.9522754758596421, 1.5478300228714943]","[0.3512022073314939, 0.5029562475364604, 0.5029562475364604]"
1,2,1.4514397248625754,0.3316386390301134,"[1.6017342761158944, 1.481186605989933, 1.4514397248625754]","[0.2835353930387172, 0.3113023073914744, 0.3316386390301134]"
1,12,1.3123080842196941,0.4954990215264188,"[1.5549222633242608, 1.4314199656248092, 1.3123080842196941]","[0.4821917808219178, 0.49354207436399217, 0.4954990215264188]"
1,3,0.9909619469340746,0.6446450553959787,"[1.176307648807377, 1.118647431398367, 0.9909619469340746]","[0.560525235945835, 0.5592942141977841, 0.6446450553959787]"
1,14,1.2627947799861432,0.5090622537431048,"[1.5233126610517502, 1.4014585621654987, 1.2627947799861432]","[0.4988179669030733, 0.5019700551615445, 0.5090622537431048]"
1,7,1.033398957221539,0.615321923390383,"[1.1940832401250865, 1.132468667123225, 1.033398957221539]","[0.5541972290138549, 0.5700896495517522, 0.615321923390383]"
1,1,1.4445508424146676,0.3242506811989101,"[1.5875389472937877, 1.4708960394800445, 1.4445508424146676]","[0.300116776956014, 0.3246399377189568, 0.3242506811989101]"
1,5,1.0699028937847583,0.6306379520520113,"[1.2238663218238137, 1.1662651486211009, 1.0699028937847583]","[0.5721251523770825, 0.5778138967899228, 0.6306379520520113]"
1,9,1.034765258237913,0.6328284895620139,"[1.2008160375929497, 1.1486698930913752, 1.034765258237913]","[0.5656979124027834, 0.5771592304543594, 0.6328284895620139]"
1,6,1.0646541141844414,0.604354971240756,"[1.2084325660358777, 1.1471629669139911, 1.0646541141844414]","[0.5591618734593262, 0.565735414954807, 0.604354971240756]"
1,8,1.1016375058657164,0.623921085080148,"[1.1751805342637098, 1.1237252540402598, 1.1016375058657164]","[0.5766543362104398, 0.5889847924373202, 0.623921085080148]"
1,13,1.2904882334172725,0.5074568288854003,"[1.5454688146710396, 1.4122953802347182, 1.2904882334172725]","[0.4858712715855573, 0.49725274725274726, 0.5074568288854003]"
1,11,1.2755655940574935,0.5121079793568877,"[1.5193819305564784, 1.3946869697751878, 1.2755655940574935]","[0.4966256450972608, 0.5069472012703454, 0.5121079793568877]"
1,0,1.4597649942209692,0.3347622759158223,"[1.601544341923278, 1.486298852496677, 1.4597649942209692]","[0.2938425565081839, 0.3250194855806703, 0.3347622759158223]"
1,4,1.0187809765338898,0.632079371641174,"[1.1955068487870066, 1.145052251062895, 1.0187809765338898]","[0.5597354278627532, 0.5651095494005788, 0.632079371641174]"
1,10,1.3024282313883304,0.504927079227434,"[1.5439144968986511, 1.412127746641636, 1.3024282313883304]","[0.492313756405203, 0.502167914860071, 0.504927079227434]"
2,8,0.44021650132807816,0.8882038635429511,"[0.9304557531926926, 0.5377896522312968, 0.44021650132807816]","[0.6905055487053021, 0.833127825729552, 0.8882038635429511]"
2,12,0.60210250467062,0.7917808219178082,"[1.4292644783854485, 0.9711220644414424, 0.60210250467062]","[0.49902152641878667, 0.6567514677103719, 0.7917808219178082]"
2,0,0.7870409632170642,0.7092751363990647,"[1.5220103322723766, 1.3279307308020416, 0.7870409632170642]","[0.32618862042088853, 0.4696024941543258, 0.7092751363990647]"
2,10,0.5763744967058301,0.8080409932991722,"[1.426715962588787, 0.9895205952227115, 0.5763744967058301]","[0.49783208513992905, 0.6448561292865589, 0.8080409932991722]"
2,5,0.39394147132898305,0.8931328728159285,"[0.9789872959062651, 0.5518776960187144, 0.39394147132898305]","[0.6834620073141, 0.8305566842746851, 0.8931328728159285]"
2,9,0.4001091726414569,0.8833401555464593,"[0.9651373934436154, 0.5604590969039248, 0.4001091726414569]","[0.6737617683176422, 0.828080229226361, 0.8833401555464593]"
2,3,0.35987679786109306,0.8990562166598277,"[0.9418580950080574, 0.5200866348557658, 0.35987679786109306]","[0.6750102585145671, 0.8424292162494871, 0.8990562166598277]"
2,14,0.5385319093242288,0.8124507486209613,"[1.3940275996923446, 0.9205337543040514, 0.5385319093242288]","[0.5078802206461781, 0.6710007880220646, 0.8124507486209613]"
2,13,0.7231268240138888,0.7586342229199372,"[1.4152656659483909, 0.933475336804986, 0.7231268240138888]","[0.49529042386185246, 0.6609105180533752, 0.7586342229199372]"
2,4,0.365195505026924,0.8941711451012815,"[0.9553862253302022, 0.5406556570608365, 0.365195505026924]","[0.6821000413393964, 0.8334022323274081, 0.8941711451012815]"
2,7,0.4024546757920996,0.8859005704971475,"[0.9362196005009985, 0.5130729538860259, 0.4024546757920996]","[0.6911165444172779, 0.8447432762836186, 0.8859005704971475]"
2,1,0.7721578511926863,0.7173997664460879,"[1.5053505617895244, 1.2806237840358121, 0.7721578511926863]","[0.3281432463993772, 0.46555079797586607, 0.7173997664460879]"
2,6,0.37888101730253787,0.8849630238290879,"[0.9772822040242034, 0.582881666042588, 0.37888101730253787]","[0.6700903861955628, 0.8356614626129828, 0.8849630238290879]"
2,2,0.817953173443675,0.7066875244427063,"[1.5171960115432739, 1.3108134590089322, 0.817953173443675]","[0.3261634728197106, 0.45795854517012125, 0.7066875244427063]"
2,11,0.5970647987685626,0.7975387058356491,"[1.4025358376623709, 0.9922411321084711, 0.5970647987685626]","[0.5049622866216753, 0.6502580389043271, 0.7975387058356491]"
3,12,0.2762228408828378,0.9142857142857143,"[0.6736378591507673, 0.34342167861759665, 0.2762228408828378]","[0.7804305283757339, 0.8923679060665362, 0.9142857142857143]"
3,13,0.22611774001270532,0.9313186813186813,"[0.6424507327377796, 0.3086848790291697, 0.22611774001270532]","[0.7861067503924647, 0.9046310832025117, 0.9313186813186813]"
3,14,0.21011007486376912,0.933806146572104,"[0.657306882366538, 0.3077181409113109, 0.21011007486376912]","[0.7750197005516154, 0.8991331757289204, 0.933806146572104]"
3,4,0.23784054065809437,0.9350971475816453,"[0.46791278198361397, 0.2927587887174205, 0.23784054065809437]","[0.8673005374121537, 0.9140140553947912, 0.9350971475816453]"
3,11,0.2313923710792125,0.9348947995236205,"[0.6698438787384878, 0.32953672233638887, 0.2313923710792125]","[0.7832473203652243, 0.888050813815006, 0.9348947995236205]"
3,3,0.23422440692975924,0.9318834632745179,"[0.42337921048913685, 0.2891769539322946, 0.23422440692975924]","[0.8797702092736972, 0.9199835863766926, 0.9318834632745179]"
3,5,0.27459552448678326,0.9187322226737099,"[0.4663082001271186, 0.3172703410027089, 0.27459552448678326]","[0.8646891507517269, 0.9057293783015035, 0.9187322226737099]"
3,6,0.24607636421531826,0.9260476581758422,"[0.43099723993377254, 0.34541271380209304, 0.24607636421531826]","[0.8693508627773213, 0.9009860312243221, 0.9260476581758422]"
3,7,0.2672063223533816,0.9180929095354523,"[0.4359582613234396, 0.2955477408484205, 0.2672063223533816]","[0.8700081499592502, 0.9168704156479217, 0.9180929095354523]"
3,0,0.26912208766113094,0.9189399844115355,"[0.8746038050747212, 0.4001537616606112, 0.26912208766113094]","[0.6835541699142634, 0.8752922837100545, 0.9189399844115355]"
3,8,0.2595640598711642,0.9243732018084669,"[0.45216968935663365, 0.31300633441367304, 0.2595640598711642]","[0.8672420879572544, 0.9083436087135224, 0.9243732018084669]"
3,2,0.30747093772515655,0.9053578412201799,"[0.8876183681190014, 0.41459094677120445, 0.30747093772515655]","[0.6761830269847477, 0.8670316777473602, 0.9053578412201799]"
3,10,0.22602972561726348,0.9306267244777296,"[0.7028828288428486, 0.32643763448577373, 0.22602972561726348]","[0.7796610169491526, 0.9002759164367363, 0.9306267244777296]"
3,1,0.28503565462651076,0.9131957960295835,"[0.8545351826850279, 0.40375023390407916, 0.28503565462651076]","[0.6963799143635656, 0.8707668353444921, 0.9131957960295835]"
3,9,0.26913990273878174,0.9177241097011871,"[0.4557272350633299, 0.3116489504645397, 0.26913990273878174]","[0.8620548505935326, 0.9111747851002865, 0.9177241097011871]"
4,2,0.2371897291857749,0.926867422761048,"[0.4745322434231639, 0.287041372526437, 0.2371897291857749]","[0.8482596793116934, 0.9057489245209229, 0.926867422761048]"
4,11,0.1788043692425082,0.9495831679237793,"[0.3128467072037202, 0.216707251258666, 0.1788043692425082]","[0.9059150456530369, 0.9297340214370782, 0.9495831679237793]"
4,13,0.17713854101020843,0.9493720565149136,"[0.3099342602305114, 0.20248888966161757, 0.17713854101020843]","[0.901883830455259, 0.9368131868131868, 0.9493720565149136]"
4,8,0.19554350070365065,0.9387587340731607,"[0.2666890820807342, 0.23373620480929452, 0.19554350070365065]","[0.9202630497328401, 0.929305384299219, 0.9387587340731607]"
4,3,0.1807629003540262,0.9462453836684448,"[0.25154978174764614, 0.20080383146157513, 0.1807629003540262]","[0.9253180139515799, 0.9425523184242922, 0.9462453836684448]"
4,14,0.14613886009028648,0.9523246650906225,"[0.2997389697469771, 0.20714556253515184, 0.14613886009028648]","[0.9066193853427896, 0.9377462568951931, 0.9523246650906225]"
4,9,0.21443624407440037,0.932050757265657,"[0.27617467756008174, 0.23714528697264659, 0.21443624407440037]","[0.9214081047891937, 0.9279574293900942, 0.932050757265657]"
4,4,0.18537968500076155,0.9450186027284002,"[0.2841277291115962, 0.217136073563444, 0.18537968500076155]","[0.9185613890037205, 0.9355105415460935, 0.9450186027284002]"
