0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
AH,AL,AI,AN,AM,AO,AG,AF,AC,AJ,AK,AE,AD,AB,AA
AH,AL,AI,AN,AM,AO,AG,AF,AC,AJ,AK,AE,AD,AB,AA
AH,AL,AI,AN,AM,AO,AG,AF,AC,AJ,AK,AE,AD,AB,AA
AH,AL,AI,AN,AM,AO,AG,AF,AC,AJ,AK,AE,AD,AB,AA
AH,AL,AI,AN,AM,AO,AG,AF,AC,AJ,AK,AE,AD,AB,AA
AH,AL,AI,AN,AM,AO,AG,AF,AC,AJ,AK,AE,AD,AB,AA
AH,AL,AI,AN,AM,AO,AG,AF,AC,AJ,AK,AE,AD,AB,AA
AH,AL,AI,AN,AM,AO,AG,AF,AC,AJ,AK,AE,AD,AB,AA
AH,AL,AI,AN,AM,AO,AG,AF,AC,AJ,AK,AE,AD,AB,AA
AH,AL,AI,AN,AM,AO,AG,AF,AC,AJ,AK,AE,AD,AB,AA
AH,AL,AI,AN,AM,AO,AG,AF,AC,AJ,AK,AE,AD,AB,AA
AH,AL,AI,AN,AM,AO,AG,AF,AC,AJ,AK,AE,AD,AB,AA
AH,AL,AI,AN,AM,AO,AG,AF,AC,AJ,AK,AE,AD,AB,AA
AH,AL,AI,AN,AM,AO,AG,AF,AC,AJ,AK,AE,AD,AB,AA
AH,AL,AI,AN,AM,AO,AG,AF,AC,AJ,AK,AE,AD,AB,AA
AH,AL,AI,AN,AM,AO,AG,AF,AC,AJ,AK,AE,AD,AB,AA
AH,AL,AI,AN,AM,AO,AG,AF,AC,AJ,AK,AE,AD,AB,AA
AH,AL,AI,AN,AM,AO,AG,AF,AC,AJ,AK,AE,AD,AB,AA
AH,AL,AI,AN,AM,AO,AG,AF,AC,AJ,AK,AE,AD,AB,AA
AH,AL,AI,AN,AM,AO,AG,AF,AC,AJ,AK,AE,AD,AB,AA
AH,AL,AI,AN,AM,AO,AG,AF,AC,AJ,AK,AE,AD,AB,AA
AH,AL,AI,AN,AM,AO,AG,AF,AC,AJ,AK,AE,AD,AB,AA
AH,AL,AI,AN,AM,AO,AG,AF,AC,AJ,AK,AE,AD,AB,AA
AH,AL,AI,AN,AM,AO,AG,AF,AC,AJ,AK,AE,AD,AB,AA
AH,AL,AI,AN,AM,AO,AG,AF,AC,AJ,AK,AE,AD,AB,AA
AH,AL,AI,AN,AM,AO,AG,AF,AC,AJ,AK,AE,AD,AB,AA
AH,AL,AI,AN,AM,AO,AG,AF,AC,AJ,AK,AE,AD,AB,AA
AH,AL,AI,AN,AM,AO,AG,AF,AC,AJ,AK,AE,AD,AB,AA
AH,AL,AI,AN,AM,AO,AG,AF,AC,AJ,AK,AE,AD,AB,AA
AH,AL,AI,AN,AM,AO,AG,AF,AC,AJ,AK,AE,AD,AB,AA
AH,AL,AI,AN,AM,AO,AG,AF,AC,AJ,AK,AE,AD,AB,AA
AH,AL,AI,AN,AM,AO,AG,AF,AC,AJ,AK,AE,AD,AB,AA
AH,AL,AI,AN,AM,AO,AG,AF,AC,AJ,AK,AE,AD,AB,AA
AH,AL,AI,AN,AM,AO,AG,AF,AC,AJ,AK,AE,AD,AB,AA
AH,AL,AI,AN,AM,AO,AG,AF,AC,AJ,AK,AE,AD,AB,AA
AH,AL,AI,AN,AM,AO,AG,AF,AC,AJ,AK,AE,AD,AB,AA
AH,AL,AI,AN,AM,AO,AG,AF,AC,AJ,AK,AE,AD,AB,AA
AH,AL,AI,AN,AM,AO,AG,AF,AC,AJ,AK,AE,AD,AB,AA
AH,AL,AI,AN,AM,AO,AG,AF,AC,AJ,AK,AE,AD,AB,AA
AH,AL,AI,AN,AM,AO,AG,AF,AC,AJ,AK,AE,AD,AB,AA
