iteration,node_id,loss,accuracy,full_loss,full_accuracy
0,0,0.7366781024371877,0.6881371640407785,"[1.3177073001861572, 0.905690156361636, 0.7366781024371877]","[0.432808155699722, 0.6209453197405005, 0.6881371640407785]"
0,8,0.7923346342462482,0.6557142857142857,"[1.1707510243762622, 0.9842519958813986, 0.7923346342462482]","[0.42333333333333334, 0.5257142857142857, 0.6557142857142857]"
0,12,0.4286144664793303,0.8337314859053989,"[0.9369934652790879, 0.5522651708487308, 0.4286144664793303]","[0.5738174868609651, 0.7830864787386527, 0.8337314859053989]"
0,7,0.7832493185997009,0.6583850931677019,"[1.1274209961746677, 0.8860067562623457, 0.7832493185997009]","[0.4567606306736742, 0.5934065934065934, 0.6583850931677019]"
0,3,0.7152983318356907,0.6989795918367347,"[1.282339309944826, 0.8842145555159625, 0.7152983318356907]","[0.4536178107606679, 0.6321892393320965, 0.6989795918367347]"
0,5,0.8463654535658219,0.6428571428571429,"[1.1118154525756836, 0.9892454936223871, 0.8463654535658219]","[0.47019867549668876, 0.5685903500473037, 0.6428571428571429]"
0,13,0.42471965244322113,0.8304761904761905,"[0.9677166089867101, 0.524059225212444, 0.42471965244322113]","[0.5628571428571428, 0.7895238095238095, 0.8304761904761905]"
0,2,0.6551849149605807,0.735444806707033,"[1.2500089319313274, 0.7960944245843327, 0.6551849149605807]","[0.48439683278993945, 0.6730321378667908, 0.735444806707033]"
0,14,0.42908539645599597,0.8315889628924833,"[0.9354213241374854, 0.6091508070627848, 0.42908539645599597]","[0.582302568981922, 0.7521408182683159, 0.8315889628924833]"
0,4,0.7737713596400093,0.6909930715935335,"[1.3320905618807848, 0.9230164377128377, 0.7737713596400093]","[0.41986143187066977, 0.6254041570438799, 0.6909930715935335]"
0,9,0.7849326585278367,0.6493815413891532,"[1.1297552585601807, 0.8820256771463336, 0.7849326585278367]","[0.48001902949571834, 0.5975261655566128, 0.6493815413891532]"
0,1,0.6971965695128721,0.7200557103064067,"[1.2442533759509815, 0.8932895327315611, 0.6971965695128721]","[0.46657381615598886, 0.6346332404828227, 0.7200557103064067]"
