iteration,node_id,loss,accuracy,full_loss,full_accuracy
0,0,0.996722278976813,0.597864768683274,"[2.2544468849897386, 1.6250489078462125, 0.996722278976813]","[0.3088177145116647, 0.4365361803084223, 0.597864768683274]"
0,8,0.4738321839957624,0.7934966216216216,"[2.128237564821501, 1.4973101930038348, 0.4738321839957624]","[0.5485641891891891, 0.659206081081081, 0.7934966216216216]"
0,12,0.23988816423866993,0.9198704977741805,"[2.1248548886714835, 0.978462913670601, 0.23988816423866993]","[0.44840145690004046, 0.6272764063132336, 0.9198704977741805]"
0,7,0.4564016205072403,0.7904721753794266,"[2.121455489794413, 1.4747742946942648, 0.4564016205072403]","[0.5628161888701517, 0.6673693086003373, 0.7904721753794266]"
0,3,0.43925708373387656,0.8030239395212095,"[2.127529026667277, 1.4930393807093303, 0.43925708373387656]","[0.5438891222175557, 0.6535069298614028, 0.8030239395212095]"
0,5,0.46451165119806925,0.7891666666666667,"[2.1235202169418335, 1.462528772354126, 0.46451165119806925]","[0.5604166666666667, 0.66375, 0.7891666666666667]"
0,13,0.21173095681353823,0.9313445034736412,"[2.1226085780502912, 0.9726287594863346, 0.21173095681353823]","[0.43890478136493666, 0.6534532080098079, 0.9313445034736412]"
0,2,0.9715859860181808,0.6007889546351085,"[2.2480587154626845, 1.6084193572402001, 0.9715859860181808]","[0.3234714003944773, 0.45285996055226824, 0.6007889546351085]"
0,14,0.22516890758505234,0.9195959595959596,"[2.1266293357580137, 0.9831984918086957, 0.22516890758505234]","[0.43636363636363634, 0.6371717171717172, 0.9195959595959596]"
0,4,0.48550176819165547,0.7788986969314838,"[2.1329517793655395, 1.5036626784006755, 0.48550176819165547]","[0.5292139554434636, 0.6414459857082808, 0.7788986969314838]"
0,9,0.4703281811765722,0.7916314454775993,"[2.127285598097621, 1.4989275014078296, 0.4703281811765722]","[0.5540997464074388, 0.6601859678782755, 0.7916314454775993]"
0,1,1.0210349932312965,0.5748620961386919,"[2.2553330928087236, 1.653209601342678, 1.0210349932312965]","[0.3037825059101655, 0.4322301024428684, 0.5748620961386919]"
0,6,0.45205362617969513,0.7884534344711336,"[2.1278663714726767, 1.468303652604421, 0.45205362617969513]","[0.5398230088495575, 0.6485461441213654, 0.7884534344711336]"
0,11,0.24624665333079054,0.9232977850697293,"[2.1199386259178064, 0.9806186758078538, 0.24624665333079054]","[0.44872846595570137, 0.6583264971287941, 0.9232977850697293]"
0,10,0.19103497215969997,0.9351549755301795,"[2.1185117356188887, 0.9737408385648356, 0.19103497215969997]","[0.4971451876019576, 0.634584013050571, 0.9351549755301795]"
1,2,0.5197085233405232,0.8165680473372781,"[1.0925192173570395, 0.6448762962594629, 0.5197085233405232]","[0.5771203155818541, 0.7759368836291913, 0.8165680473372781]"
1,12,0.17923457173105234,0.9372723593686767,"[0.38570619890323055, 0.1875742314478908, 0.17923457173105234]","[0.8704977741804937, 0.934439498178875, 0.9372723593686767]"
1,3,0.26865328043699266,0.8391432171356573,"[0.38820990721384685, 0.2904838055372238, 0.26865328043699266]","[0.8118437631247375, 0.8324233515329693, 0.8391432171356573]"
